(type2) 21ur-1,34,/B0035.14a.1/B0035.14a.2/B0035.14b.1/B0564.11.1/B0564.11.2/C44B7.11.1/C44B7.11.2/F28C10.3.1/F41H10.4.1/F41H10.4.2/F59A3.9.1/F59A3.9.2/F59A3.9.3/K10B3.10a.1/K10B3.10a.2/K10B3.10b.1/Y110A7A.9a.1/Y110A7A.9a.2/Y110A7A.9b.1/Y110A7A.9b.2/Y22F5A.4.1/Y22F5A.4.2/Y22F5A.4.3/Y22F5A.4.4/Y22F5A.4.5/Y46G5A.18a.1/Y46G5A.18a.2/Y46G5A.18b.1/Y46G5A.18b.2/Y46G5A.18b.3/Y46G5A.18b.4/ZK856.11.1/ZK856.16.1/ZK856.16.2
(type2) 21ur-107,1,/Y6G8.3.1
(type2) 21ur-1128,9,/W03G9.3.1/W05F2.2.1/W05F2.2.2/Y37D8A.12a.1/Y37D8A.12a.2/Y37D8A.12a.3/Y37D8A.12a.4/Y37D8A.12a.5/Y37D8A.12a.6
(type2) 21ur-15,1,/BE0003N10.1.1
(type2) 21ur-167,1,/Y50D4C.6a.1
(type2) 21ur-17,2,/W02A2.7.1/W02A2.7.2
(type2) 21ur-1731,1,/Y50D7A.4.1
(type2) 21ur-1764,13,/T21H3.3a.1/T21H3.3a.10/T21H3.3a.11/T21H3.3a.12/T21H3.3a.13/T21H3.3a.2/T21H3.3a.3/T21H3.3a.4/T21H3.3a.5/T21H3.3a.6/T21H3.3a.7/T21H3.3a.8/T21H3.3a.9
(type2) 21ur-177,5,/T20G5.14.1/T20G5.14.2/T20G5.14.3/T20G5.14.4/T20G5.14.5
(type2) 21ur-1993,2,/M4.1a.1/M4.1b.1
(type2) 21ur-2188,5,/F33A8.3.1/F33A8.3.2/F33A8.3.3/F33A8.3.4/F33A8.3.5
(type2) 21ur-222,2,/F13G3.11.1/F13G3.11.2
(type2) 21ur-224,16,/K11C4.5a.1/K11C4.5b.1/K11C4.5c.1/K11C4.5d.1/K11C4.5e.1/K11C4.5f.1/K11C4.5g.1/K11C4.5h.1/K11C4.5i.1/K11C4.5j.1/K11C4.5k.1/K11C4.5l.1/K11C4.5m.1/K11C4.5n.1/K11C4.5o.1/K11C4.5p.1
(type2) 21ur-236,1,/D2013.1.1
(type2) 21ur-2836,2,/C15H11.9.1/C15H11.9.2
(type2) 21ur-2931,1,/T10B11.6.1
(type2) 21ur-3,13,/F02C12.3.1/F10G7.8.1/F10G7.8.2/F10G7.8.3/F16A11.1a.1/F16A11.1b.1/F25H5.4a.1/F25H5.4a.2/F25H5.4a.3/F25H5.4a.4/F25H5.4b.1/F25H5.4b.2/T08B2.8.1
(type2) 21ur-305,5,/C46H3.2a.1/C46H3.2b.1/C46H3.2b.2/C46H3.2b.3/C46H3.2c.1
(type2) 21ur-320,1,/R10E11.4.1
(type2) 21ur-360,2,/M01E11.6.1/M01E11.6.2
(type2) 21ur-3775,2,/Y56A3A.28.1/Y56A3A.28.2
(type2) 21ur-4,2,/F56H1.4.1/F56H1.4.2
(type2) 21ur-462,3,/K03B4.2.1/K03B4.2.2/K03B4.3b.3
(type2) 21ur-464,1,/F56D1.2.1
(type2) 21ur-556,5,/C10C5.6a.1/C10C5.6b.1/C10C5.6c.1/C10C5.6d.1/C10C5.6e.1
(type2) 21ur-69,2,/C46A5.5a.1/C46A5.5b.1
(type2) 21ur-749,8,/R06A10.2a.1/R06A10.2a.2/R06A10.2a.3/R06A10.2a.4/R06A10.2a.5/R06A10.2a.6/R06A10.2a.7/R06A10.2a.8
(type2) 21ur-8,17,/AC7.3.1/C01B7.1b.1/C01B7.1b.2/C01B7.1b.3/C01B7.1c.1/C01B7.1c.2/C01B7.1c.3/C01B7.1d.1/C01B7.1d.2/C01B7.1d.3/F40F9.6a.1/F40F9.6a.2/F40F9.6b.1/F40F9.6b.2/F40F9.6c.1/F40F9.6c.2/F59H6.9.1
(type2) 21ur-824,7,/C06A5.6.1/C06A5.6.2/C06A5.6.3/C06A5.6.4/Y54H5A.1.1/Y54H5A.1.2/Y54H5A.1.3
(type2) 21ur-8460,5,/C10C5.6a.1/C10C5.6b.1/C10C5.6c.1/C10C5.6d.1/C10C5.6e.1
21ur-10012,5,/R06C7.5a.1/R06C7.5a.2/R06C7.5b.1/R06C7.5b.2/R06C7.5b.3
21ur-10015,9,/C32F10.1a.1/C32F10.1a.2/C32F10.1b.3/C32F10.1b.4/C32F10.1b.5/C32F10.1b.6/C32F10.1b.7/C32F10.1b.8/C32F10.1b.9
21ur-1002,1,/K10C3.5a.1
21ur-10033,40,/R11A5.4a.1/R11A5.4a.2/R11A5.4a.3/R11A5.4a.4/R11A5.4a.5/R11A5.4a.6/R11A5.4b.1/R11A5.4b.2/R11A5.4b.3/R11A5.4c.1/R11A5.4c.10/R11A5.4c.11/R11A5.4c.12/R11A5.4c.13/R11A5.4c.14/R11A5.4c.15/R11A5.4c.16/R11A5.4c.17/R11A5.4c.2/R11A5.4c.3/R11A5.4c.4/R11A5.4c.5/R11A5.4c.6/R11A5.4c.7/R11A5.4c.8/R11A5.4c.9/R11A5.4d.1/R11A5.4d.10/R11A5.4d.11/R11A5.4d.12/R11A5.4d.13/R11A5.4d.14/R11A5.4d.2/R11A5.4d.3/R11A5.4d.4/R11A5.4d.5/R11A5.4d.6/R11A5.4d.7/R11A5.4d.8/R11A5.4d.9
21ur-1005,1,/ZK1098.5.1
21ur-1006,6,/F49C12.9.1/F49C12.9.2/H04J21.3a.1/H04J21.3a.2/H04J21.3b.1/H04J21.3c.1
21ur-1008,28,/C34H3.1.1/F26H11.2a.1/F26H11.2b.1/F26H11.2c.1/F26H11.2d.1/F26H11.2d.2/F26H11.2d.3/F26H11.2h.1/F26H11.2h.2/F26H11.2i.1/F26H11.2k.1/F26H11.2l.1/F26H11.2m.1/F26H11.2n.1/F26H11.2q.1/F26H11.2q.2/F26H11.2q.3/F26H11.2q.4/F26H11.2q.5/F26H11.2q.6/F26H11.2q.7/F26H11.2q.8/F26H11.2r.1/F26H11.2r.2/F26H11.2r.3/F26H11.2r.4/F26H11.2r.5/Y48E1B.5.1
21ur-1010,12,/R06A10.2a.1/R06A10.2a.2/R06A10.2a.3/R06A10.2a.4/R06A10.2a.5/R06A10.2a.6/R06A10.2a.7/R06A10.2a.8/R06A10.2b.1/R06A10.2b.2/R06A10.2b.3/R06A10.2b.4
21ur-10136,1,/F30A10.1.1
21ur-10138,12,/F46E10.9.1/F46E10.9.2/F46E10.9.3/F46E10.9.4/F46E10.9.5/K11D12.2.1/K11D12.2.2/K11D12.2.3/K11D12.2.4/K11D12.2.5/K11D12.2.6/K11D12.2.7
21ur-10145,2,/F28B3.6.1/F28B3.6.2
21ur-1017,7,/F52E4.1a.1/F52E4.1a.2/F52E4.1b.1/F54D11.2.1/F54D11.2.2/F54D11.2.3/F54D11.2.4
21ur-1018,1,/F17A9.2.1
21ur-10183,1,/T10H10.3.1
21ur-10195,2,/Y6B3B.9a.1/Y6B3B.9a.2
21ur-10207,4,/Y39B6A.36.2/Y39B6A.37.1/Y39B6A.37.2/Y39B6A.37.3
21ur-1021,3,/B0432.8.1/B0432.8.2/B0432.8.3
21ur-1023,9,/D1043.1.1/T01H8.1a.1/T01H8.1b.1/T01H8.1b.2/T01H8.1c.1/T01H8.1d.1/T01H8.1e.1/T09B4.1.1/T09B4.1.2
21ur-10235,1,/Y75B8A.10.1
